hotel_name,locality,price,rating,score,review,link
Villa Mallorca Ubud,Ubud,"Rp 3,309,900",Exceptional ,10,3 reviews,https://www.booking.com/hotel/id/villa-mallorca-ubud.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=1375569701_410143662_8_0_0&highlighted_blocks=1375569701_410143662_8_0_0&matching_block_id=1375569701_410143662_8_0_0&sr_pri_blocks=1375569701_410143662_8_0_0__330990000&from=searchresults
Teba Junjungan Cottages,Ubud,"Rp 270,000",Wonderful ,9.2,497 reviews,https://www.booking.com/hotel/id/teba-junjungan-cottages.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=298671803_203815771_2_41_0&highlighted_blocks=298671803_203815771_2_41_0&matching_block_id=298671803_203815771_2_41_0&sr_pri_blocks=298671803_203815771_2_41_0__27000000&from=searchresults
Angga Homestay,"Downtown Ubud, Ubud","Rp 300,000",Excellent ,8.6,261 reviews,https://www.booking.com/hotel/id/angga-homestay.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=107861402_353599246_2_1_0&highlighted_blocks=107861402_353599246_2_1_0&matching_block_id=107861402_353599246_2_1_0&sr_pri_blocks=107861402_353599246_2_1_0__30000000&from=searchresults
Ananda JJ Ubud Resort & Spa,Ubud,"Rp 315,000",Very Good ,8.0,548 reviews,https://www.booking.com/hotel/id/ananda-jj-ubud.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=823819808_346692593_0_2_0&highlighted_blocks=823819808_346692593_0_2_0&matching_block_id=823819808_346692593_0_2_0&sr_pri_blocks=823819808_346692593_0_2_0__31500000&from=searchresults
Sahadewa House,"Peliatan, Ubud","Rp 350,000",Exceptional ,9.5,389 reviews,https://www.booking.com/hotel/id/sahadewa-house.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=206662707_379632059_2_1_0&highlighted_blocks=206662707_379632059_2_1_0&matching_block_id=206662707_379632059_2_1_0&sr_pri_blocks=206662707_379632059_2_1_0__35000000&from=searchresults
Anumana Ubud Hotel,"Downtown Ubud, Ubud","Rp 1,287,079",Wonderful ,9.0,"1,420 reviews",https://www.booking.com/hotel/id/anumana-ubud.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=134939210_366443831_2_1_0_609294&highlighted_blocks=134939210_366443831_2_1_0_609294&matching_block_id=134939210_366443831_2_1_0_609294&sr_pri_blocks=134939210_366443831_2_1_0_609294_128707900&from=searchresults
Tama Homestay,"Downtown Ubud, Ubud","Rp 504,000",Wonderful ,9.2,79 reviews,https://www.booking.com/hotel/id/tama-homestay-kabupaten-gianyar.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=1174073401_389989285_2_2_0_312425&highlighted_blocks=1174073401_389989285_2_2_0_312425&matching_block_id=1174073401_389989285_2_2_0_312425&sr_pri_blocks=1174073401_389989285_2_2_0_312425_50400000&from=searchresults
Rahayu Hanoman Ubud,"Downtown Ubud, Ubud","Rp 286,740",Good ,7.3,366 reviews,https://www.booking.com/hotel/id/rahayu-hanoman-ubud-kabupaten-gianyar2.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=1136827903_388087175_2_1_0_473712&highlighted_blocks=1136827903_388087175_2_1_0_473712&matching_block_id=1136827903_388087175_2_1_0_473712&sr_pri_blocks=1136827903_388087175_2_1_0_473712_28674000&from=searchresults
Pecatu Ubud Guest House,"Pengosekan, Ubud","Rp 503,100",Excellent ,8.8,888 reviews,https://www.booking.com/hotel/id/pecatu-ubud-guest-house.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=257820402_334010965_2_1_0&highlighted_blocks=257820402_334010965_2_1_0&matching_block_id=257820402_334010965_2_1_0&sr_pri_blocks=257820402_334010965_2_1_0__50310000&from=searchresults
Odi Ode House,"Downtown Ubud, Ubud","Rp 265,550",Excellent ,8.6,436 reviews,https://www.booking.com/hotel/id/odi-ode-house.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=247908404_105438255_2_1_0&highlighted_blocks=247908404_105438255_2_1_0&matching_block_id=247908404_105438255_2_1_0&sr_pri_blocks=247908404_105438255_2_1_0__26555000&from=searchresults
